ID,School_Number,School_Name,Suburb,Post_Code,Type_of_Schooling,Index_of_Educational_Disadvantage,Latitude,Longitude
1,536,Aberfoyle Hub R-7 School,Aberfoyle Park,5159,Primary Education,6,-35.078139,138.595142
2,1673,Aberfoyle Park High School,Aberfoyle Park,5159,Secondary Education,6,-35.074007,138.594181
3,1919,Adelaide Botanic High School,Adelaide,5000,Secondary Education,7,-34.917055,138.606743
4,997,Adelaide East Education Centre,Paradise,5075,Special Education,6,-34.873042,138.672971
5,768,Adelaide High School,Adelaide,5000,Secondary Education,5,-34.925733,138.586678
6,476,Adelaide North Special School,Munno Para,5115,Special Education,3,-34.663577,138.684948
7,1686,Adelaide Secondary School of English,West Croydon,5008,Secondary Education,2,-34.886834,138.565419
8,1414,Adelaide West Special Education Ctr,Taperoo,5017,Special Education,5,-34.801247,138.494073
9,980,Airdale Primary School,Port Pirie,5540,Primary Education,1,-33.200389,137.990033
10,202,Alberton Primary School,Queenstown,5014,Primary Education,3,-34.862679,138.512645
11,210,Aldgate Primary School,Aldgate,5154,Primary Education,7,-35.019502,138.748939
12,222,Aldinga Beach B-7 School,Aldinga,5173,Primary Education,4,-35.269294,138.461896
13,473,Allenby Gardens Primary School,Allenby Gardens,5009,Primary Education,5,-34.902081,138.554563
14,751,Allendale East Area School,Allendale East,5291,Primary/Secondary Combined,5,-38.002525,140.711276
15,1001,Amata Anangu School,Amata,872,Aboriginal/Anangu Schools,1,-26.151709,131.147712
16,509,Andamooka Primary School,Andamooka,5722,Primary Education,2,-30.448801,137.167593
17,242,Angaston Primary School,Angaston,5353,Primary Education,6,-34.499092,139.050833
18,255,Angle Vale Primary School,Angle Vale,5117,Primary Education,5,-34.643346,138.647362
19,732,Ardrossan Area School,Ardrossan,5571,Primary/Secondary Combined,4,-34.423756,137.91592
20,1540,Ardtornish Primary School,St Agnes,5097,Primary Education,6,-34.833595,138.704599
21,340,Ascot Park Primary School,Park Holme,5043,Primary Education,3,-34.990774,138.554376
22,419,Athelstone School,Athelstone,5076,Primary Education,7,-34.867392,138.699416
23,425,Auburn Primary School,Auburn,5451,Primary Education,6,-34.027583,138.680973
24,990,Augusta Park Primary School,Port Augusta,5700,Primary Education,1,-32.495595,137.784949
25,1800,Australian Science & Mathematics Sch,Bedford Park,5042,Secondary Education,5,-35.018843,138.574657
26,906,Avenues College,Windsor Gardens,5087,Primary/Secondary Combined,3,-34.860757,138.657925
27,769,Balaklava High School,Balaklava,5461,Secondary Education,4,-34.1503,138.41511
28,477,Balaklava Primary School,Balaklava,5461,Primary Education,4,-34.151438,138.416488
29,1117,Banksia Park International HS,Banksia Park,5091,Secondary Education,6,-34.814401,138.726168
30,1015,Banksia Park School R-7,Banksia Park,5091,Primary Education,6,-34.808854,138.72609
31,506,Barmera Primary School,Barmera,5345,Primary Education,3,-34.25159,140.478058
32,511,Basket Range Primary School,Basket Range,5138,Primary Education,7,-34.938619,138.765498
33,519,Beachport Primary School,Beachport,5280,Primary Education,6,-37.475436,140.009715
34,524,Belair Primary School,Belair,5052,Primary Education,7,-35.00488,138.625814
35,1136,Bellevue Heights Primary School,Bellevue Heights,5050,Primary Education,6,-35.028955,138.588869
36,532,Berri Primary School,Berri,5343,Primary Education,2,-34.279661,140.594112
37,770,Birdwood High School,Birdwood,5234,Secondary Education,6,-34.819718,138.95963
38,547,Birdwood Primary School,Birdwood,5234,Primary Education,7,-34.819718,138.95963
39,548,Black Forest Primary School,Black Forest,5035,Primary Education,6,-34.960682,138.573308
40,905,Blackwood High School,Eden Hills,5050,Secondary Education,7,-35.025087,138.607259
41,565,Blackwood Primary School,Eden Hills,5050,Primary Education,7,-35.025087,138.607259
42,1903,Blair Athol North School B-7,Blair Athol,5084,Primary Education,2,-34.852716,138.598872
43,1854,Blakeview Primary School,Blakeview,5114,Primary Education,3,-34.687809,138.699956
44,571,Blanchetown Primary School,Blanchetown,5357,Primary Education,4,-34.350655,139.61118
45,586,Blyth Primary School,Blyth,5462,Primary Education,6,-33.844527,138.491087
46,600,Booborowie Primary School,Booborowie,5417,Primary Education,4,-33.566079,138.759558
47,771,Booleroo Centre District School,Booleroo Centre,5482,Primary/Secondary Combined,6,-32.877326,138.349525
48,894,Bordertown High School,Bordertown,5268,Secondary Education,4,-36.312935,140.767516
49,733,Bordertown Primary School,Bordertown,5268,Primary Education,5,-36.312935,140.767516
50,1418,Bowden Brompton Community School,Brompton,5007,Primary/Secondary Combined,2,-34.895043,138.580071
51,1163,Braeview School R-7,Happy Valley,5159,Primary Education,6,-35.080686,138.554101
52,983,Brahma Lodge Primary School,Brahma Lodge,5109,Primary Education,2,-34.775528,138.650326
53,636,Bridgewater Primary School,Bridgewater,5155,Primary Education,7,-35.004337,138.762645
